from_country,to_country,relationship,dynamic
columbia,cathay,strategic_rival,THE Trap itself. Largest bilateral trade under ~47.5% tariff assault. Economic interdependence + military competition in Pacific. Cathay closing AI gap. Semiconductor supply chain through Formosa.
columbia,nordostan,hostile,Nuclear peer adversary. Sanctions regime. Proxy conflict via Heartland. Two-front nightmare with Cathay.
columbia,heartland,close_ally,Ally at war. Weapons and aid provider. Pushing for negotiated settlement. Heartland fears abandonment.
columbia,persia,at_war,Operation Epic Fury. Joint campaign with Levantia. Two carrier strike groups committed. Regime change objective.
columbia,gallia,alliance,NATO ally with friction. Strategic autonomy disagreement. Shares intelligence. Respects nuclear capability.
columbia,teutonia,alliance,NATO ally with friction. Hosts main European base. Pressured on 5% GDP defense. Cathay trade dependency frustrates.
columbia,freeland,alliance,NATO frontline. Most enthusiastic ally. Maximally hawkish on Nordostan. Hosts forward deployments.
columbia,ponte,alliance,NATO ally but EU weak link. Russia-sympathetic. China-curious. Massive debt. Watched nervously.
columbia,albion,close_ally,Special relationship. NATO Five Eyes UNSC. Most reliable European interlocutor. Pacific naval alignment.
columbia,bharata,friendly,Courtship. Desperately needs Bharata in sanctions coalition. Bharata plays both sides. Essential but frustrating.
columbia,levantia,close_ally,Joint operations in Persia. Regional military superpower. Undeclared nuclear state. Politically impossible to distance.
columbia,formosa,close_ally,Protectorate. Strategic ambiguity. 65% semiconductor dependency. Ultimate test if Cathay moves.
columbia,phrygia,alliance,NATO member playing every side. Controls Bosphorus. Buys Nordostan air defense. Trusted on nothing.
columbia,yamato,alliance,Pacific alliance cornerstone. Remilitarizing. Hosts major bases. Strategic anxiety about Cathay aligns perfectly.
columbia,solaria,friendly,OPEC kingpin. Oil pricing power. Hedging Columbia-Cathay. Arms buyer. Increasingly independent.
columbia,choson,hostile,Nuclear wildcard. No diplomatic channel. Deterrence via Yamato/Hanguk bases. Provocation risk.
columbia,hanguk,alliance,US ally. Hosts bases. Semiconductor power. Domestic crisis. Cathay trade dependency Columbia is disrupting.
columbia,caribe,hostile,Post-intervention. Operation Absolute Resolve. Energy blockade. Monroe Doctrine tested.
columbia,mirage,friendly,Financial hub. Arms buyer. Gulf military facilities. Critical logistics for Persia war. Hedges everyone.
cathay,columbia,strategic_rival,THE Trap itself. Rising challenger vs declining hegemon. ~30% average tariffs post-Supreme Court chaos. Rare earth vs chip export controls = mutual technological chokehold.
cathay,nordostan,close_ally,Partnership without limits evolving to asymmetric dependency. Energy buyer. Arms trade. Joint BRICS+. Nordostan as junior partner.
cathay,heartland,neutral,Carefully neutral. Calls for peaceful resolution. Mild sanctions-evasion support to Nordostan. Studies conflict for Taiwan lessons.
cathay,persia,friendly,BRICS+ member. Energy supplier. Sanctions-evasion partner. But no military support after Epic Fury.
cathay,gallia,tense,UNSC P5 peer. Wary respect. Strategic autonomy could benefit or complicate. Less economically dependent than Teutonia.
cathay,teutonia,friendly,Largest European trade partner. Auto industry dependency. Tool for splitting European consensus. BRI investment.
cathay,freeland,neutral,No significant bilateral relationship. Relevant only through NATO/EU dynamics.
