country_id,unit_type,count,zone_id,notes
columbia,ground,4,col_main_1,Continental main - ICBM silos Pentagon
columbia,ground,2,col_main_2,Continental east - Atlantic seaboard
columbia,ground,2,col_nw,Alaska/Pacific northwest
columbia,ground,2,col_main_3,Hawaii/Pacific command equivalent
columbia,ground,2,teutonia_1,Main European base (Ramstein)
columbia,ground,1,yamato_2,Main Pacific base (Okinawa)
columbia,ground,1,hanguk,Korea deterrence
columbia,ground,1,freeland,NATO forward deployment
columbia,ground,1,solaria_1,Gulf logistics - Persia war support
columbia,ground,1,horn,Djibouti - Red Sea security
columbia,ground,4,persia_2,ME theater - active war zone (Operation Epic Fury)
columbia,ground,1,mirage,Gulf logistics hub
columbia,tactical_air,5,col_main_1,Continental strike capability
columbia,tactical_air,2,col_main_3,Pacific air command
columbia,tactical_air,2,teutonia_1,European air power
columbia,tactical_air,1,yamato_2,Pacific base air
columbia,tactical_air,3,persia_2,ME theater air campaign
columbia,tactical_air,1,hanguk,Korea air deterrence
columbia,tactical_air,1,col_nw,Alaska air defense
columbia,strategic_missile,8,col_main_1,ICBM silos + bomber fleet
columbia,strategic_missile,1,col_nw,Alaska strategic
columbia,strategic_missile,3,col_main_2,SSBNs at sea
columbia,air_defense,2,col_main_1,Homeland THAAD/Patriot
columbia,air_defense,1,col_main_3,Hawaii defense
columbia,air_defense,1,yamato_2,Pacific base defense
cathay,ground,5,cathay_3,Central mainland - Beijing region
cathay,ground,5,cathay_2,Western interior
cathay,ground,4,cathay_6,Southeast - Taiwan Strait staging
cathay,ground,4,cathay_5,Southern coastal
cathay,ground,2,cathay_4,Northeast - Choson border security
cathay,ground,3,cathay_7,South China coastal
cathay,ground,2,choson,Choson border quick reaction force
cathay,tactical_air,5,cathay_3,Central aviation + strategic reserve
cathay,tactical_air,5,cathay_6,Coastal DF-21/DF-26 carrier killers + tactical aviation
cathay,tactical_air,2,cathay_2,Western interior air
cathay,strategic_missile,2,cathay_3,Silo-based ICBMs
cathay,strategic_missile,1,cathay_2,Mobile DF-41 launchers
cathay,strategic_missile,1,cathay_7,SSBNs - South China Sea bastion
cathay,air_defense,1,cathay_3,Central defense
cathay,air_defense,1,cathay_6,Coastal defense
cathay,air_defense,1,cathay_2,Western defense
nordostan,ground,2,nord_c1,Moscow/central strategic reserve
nordostan,ground,2,nord_e2,Far East/Cathay border defense
nordostan,ground,1,nord_w2,Caucasus/southern flank
nordostan,tactical_air,2,nord_c1,Strategic aviation homeland defense
nordostan,tactical_air,1,nord_w2,Southern air defense/strike
nordostan,tactical_air,1,nord_e2,Far East air defense
nordostan,strategic_missile,7,nord_c1,ICBM silos mobile launchers strategic bombers
nordostan,strategic_missile,2,nord_e2,Mobile launchers Pacific SSBN patrols
nordostan,strategic_missile,3,nord_n1,SSBNs Northern Fleet bastion
nordostan,air_defense,1,nord_c1,Moscow strategic defense
nordostan,air_defense,1,nord_w2,Southern/Caucasus defense
persia,ground,2,persia_2,IRGC ground forces + Gulf Gate coastal defense batteries
persia,ground,2,persia_1,Nuclear facility defense
persia,ground,2,persia_3,Strategic depth ballistic missile guards
persia,ground,1,phrygia_2,Iraq corridor - militia support/border security
persia,tactical_air,2,persia_2,Coastal anti-ship missiles Shahed drones
persia,tactical_air,2,persia_1,Medium-range ballistic missiles air defense support
persia,tactical_air,1,persia_3,Long-range ballistic missiles strategic reserve
persia,tactical_air,1,cp_gulf_gate,Anti-ship missile batteries on fortified islands
persia,air_defense,1,persia_1,S-300/S-400 protecting nuclear sites - ONLY air defense unit
gallia,ground,4,gallia_1,Metropolitan France
gallia,ground,1,horn,Djibouti overseas
gallia,ground,1,levantia,Near ME deployment
gallia,tactical_air,3,gallia_1,Metropolitan Rafale
gallia,tactical_air,1,horn,Overseas air
gallia,strategic_missile,2,gallia_1,SSBNs + air-launched cruise missiles
gallia,air_defense,1,gallia_1,SAMP/T homeland
