id,character_name,parallel,country_id,team,faction,title,age,gender,is_head_of_state,is_military_chief,parliament_seat,personal_coins,personal_coins_notes,expansion_role,ai_candidate,brief_file,intelligence_pool,powers,objectives,ticking_clock,sabotage_cards,cyber_cards,disinfo_cards,election_meddling_cards,assassination_cards,protest_stim_cards,fatherland_appeal,is_diplomat
dealer,Dealer,US President,columbia,Columbia,Presidents,President of Columbia,80,M,true,false,1,5,,false,false,role_briefs/DEALER.md,4,set_tariffs;authorize_attack;fire_team_member;approve_nuclear;sign_treaty;set_budget;endorse_successor,secure_legacy;manage_succession;contain_cathay,Term-limited age 80. 10% per-round incapacitation risk. Legacy = reshaping world order.,1,1,1,1,1,0,1,false
volt,Volt,US Vice President,columbia,Columbia,Presidents,Vice President of Columbia,60,M,false,false,2,3,,false,false,role_briefs/VOLT.md,2,assume_presidency;break_tie_vote;chair_nsc,win_nomination;build_base;prove_loyalty,Succession race. Must balance loyalty to Dealer with own presidential ambitions. America First isolationist wing.,0,0,0,0,0,0,0,false
anchor,Anchor,US Secretary of State,columbia,Columbia,Presidents,Secretary of State,62,M,false,false,0,3,,false,false,role_briefs/ANCHOR.md,3,negotiate_treaty;represent_abroad;diplomatic_channel,win_nomination;cuba_legacy;alliance_management,Succession race. Cuba is personal trophy. Hawkish diplomatic establishment.,0,0,1,1,0,0,0,true
shield,Shield,US Secretary of Defense,columbia,Columbia,Presidents,Secretary of Defense,58,M,false,true,0,2,,false,false,role_briefs/SHIELD.md,3,deploy_forces;military_operations;advise_president,military_readiness;manage_overstretch;warrior_ethos,Overstretched military. Persia war consuming resources. Pacific deterrence at risk. Warrior ethos philosophy.,1,1,0,0,0,0,0,false
shadow,Shadow,CIA Director,columbia,Columbia,Presidents,Director of Central Intelligence,55,M,false,false,0,2,,false,false,role_briefs/SHADOW.md,8,intelligence_briefing;covert_operations;information_control,intelligence_accuracy;covert_influence;protect_sources,Controls what Dealer sees. Information is power. Can shape decisions through selective briefings.,3,3,3,1,1,0,0,false
tribune,Tribune,Congressional Opposition Leader,columbia,Columbia,Opposition,Speaker of the Opposition,50,F,false,false,3,2,,false,false,role_briefs/TRIBUNE.md,1,block_budget;launch_investigation;public_statement;midterm_campaign,flip_parliament;constrain_president;opposition_agenda,Mid-terms Round 2. If opposition wins Seat 5 Parliament flips 3-2.,0,0,1,0,0,1,0,false
challenger,Challenger,Opposition Presidential Candidate,columbia,Columbia,Opposition,Presidential Candidate,45,M,false,false,4,2,,false,false,role_briefs/CHALLENGER.md,1,campaign;foreign_meetings;public_statement;alternative_policy,win_presidency;build_coalition;offer_alternative_future,Presidential election Round 5. Every foreign leader hedges between Dealer and Challenger.,0,0,1,0,0,1,0,false
fixer,Fixer,Presidential Envoy - Middle East,columbia,Columbia,Presidents,Presidential Envoy for Peace,55,M,false,false,5,2,,true,true,role_briefs/FIXER.md,3,parallel_diplomacy;back_channel;middle_east_negotiation,peace_deal;dealer_legacy;regional_stability,Expansion role. Parallel diplomatic channel may contradict official policy.,1,1,1,1,0,0,0,true
pioneer,Pioneer,Presidential Envoy - Tech/Business,columbia,Columbia,Presidents,Presidential Envoy for Technology,52,M,false,false,0,4,,true,true,role_briefs/PIONEER.md,2,tech_diplomacy;business_channel;ai_policy,tech_supremacy;business_deals;ai_regulation,Expansion role. Tech tycoon with unaccountable influence.,0,1,0,0,0,0,0,false
helmsman,Helmsman,Chinese President/Chairman,cathay,Cathay,Chairman,Chairman of Cathay,72,M,true,true,0,5,,false,false,role_briefs/HELMSMAN.md,4,all_executive;purge;military_order;set_policy;approve_nuclear,formosa_resolution;national_rejuvenation;personal_legacy,No successor. Age 72. 5-10% incapacitation risk per round. Legacy requires Formosa resolution.,1,1,1,1,1,0,1,false
rampart,Rampart,CMC Vice-Chairman,cathay,Cathay,Military,Marshal of Cathay,65,M,false,true,0,3,,false,false,role_briefs/RAMPART.md,3,military_intelligence;co_sign_military;slow_walk;readiness_assessment,military_readiness;survive_purges;professional_standards,Purge survivor. Co-signature required for military orders. Can slow-walk with 1-round delay. Anti-corruption commissar background.,1,1,0,0,0,0,0,false
abacus,Abacus,Chinese Premier,cathay,Cathay,Government,Premier of Cathay,63,M,false,false,0,3,,false,false,role_briefs/ABACUS.md,2,economic_data;budget_co_sign;acting_leader;reform_proposal,economic_stability;reform;prevent_catastrophe,Controls real economic data. Hidden local debt crisis ($9-13T LGFVs). Acting leader if Helmsman incapacitated.,0,1,0,0,0,0,0,false
circuit,Circuit,Tech/Industry Chief,cathay,Cathay,Business,Minister of Technology and Industry,50,M,false,false,0,2,2 coins abroad at risk if confrontation escalates,false,false,role_briefs/CIRCUIT.md,2,tech_policy;rare_earth_weapon;foreign_business;cyber_operations,tech_self_sufficiency;protect_assets;global_integration,Global assets at risk. Rare earth weapon is depreciating. 2 personal coins represent assets abroad.,0,2,0,0,0,0,0,false
sage,Sage,Party Elder,cathay,Cathay,Elder,Retired Senior Leader,78,M,false,false,0,2,,false,false,role_briefs/SAGE.md,1,party_conference;informal_counsel;succession_mechanism;legitimacy_challenge,party_survival;collective_leadership;prevent_catastrophe,Activates when stability < 5 or support < 40%. Party immune system. Can convene party conference.,0,0,0,0,0,0,0,true
lumiere,Lumiere,French President,gallia,Europe,Gallia,President of Gallia,48,M,true,true,0,3,,false,true,role_briefs/LUMIERE.md,4,eu_vote;nato_vote;unsc_veto;nuclear_authority;strategic_autonomy;deploy_independently,european_autonomy;nuclear_credibility;global_influence,Strategic autonomy champion. UNSC veto. Nuclear power. Ile-Longue speech expanding deterrent. 11-16% domestic approval.,1,1,1,1,0,0,1,false
forge,Forge,German Chancellor,teutonia,Europe,Teutonia,Chancellor of Teutonia,55,M,true,false,0,3,,false,true,role_briefs/FORGE.md,4,eu_vote;nato_vote;trade_policy;rearmament_decision;host_columbia_base,economic_prosperity;cathay_trade;reluctant_rearmament,Massive Cathay trade dependency. Pressured to spend 5% GDP on defense. Hosts Columbia main European base. EUR 100B defense fund.,0,1,0,0,0,0,1,false
sentinel,Sentinel,Polish President,freeland,Europe,Freeland,President of Freeland,52,M,true,false,0,2,,false,true,role_briefs/SENTINEL.md,4,eu_vote;nato_vote;defense_spending;eastern_flank;ruthenia_logistics,maximum_security;sarmatia_containment;nato_commitment,NATO frontline. 4.8% GDP defense spending. Hosts Columbia forward deployments. Cohabitation with opposition president.,0,0,0,0,0,0,1,false
ponte_role,Ponte,Italian PM,ponte,Europe,Ponte,Prime Minister of Ponte,50,F,true,false,0,2,,false,true,role_briefs/PONTE_ROLE.md,4,eu_vote;nato_vote;swing_vote;debt_management;veto_sanctions,debt_survival;eu_influence;hedge_all_sides,EU swing vote. 137.9% debt-to-GDP. 8 coins/round debt service. Russia-sympathetic coalition partners. Referendum defeat.,0,0,0,0,0,0,1,false
mariner,Mariner,British PM,albion,Europe,Albion,Prime Minister of Albion,56,M,true,true,0,3,,false,true,role_briefs/MARINER.md,4,nato_vote;unsc_veto;nuclear_authority;five_eyes;pacific_ambition;intelligence_sharing,special_relationship;post_brexit_relevance;nuclear_credibility,NATO but not EU. Five Eyes intelligence broker. UNSC veto. Offering troops for Ruthenia ceasefire monitoring.,1,1,1,1,1,0,1,false
pillar,Pillar,EU Commissioner,gallia,Europe,EU,Commissioner of The Ereb Union,60,F,false,false,0,2,,false,true,role_briefs/PILLAR.md,2,eu_agenda;call_eu_session;external_trade_negotiation;frame_issues;propose_compromise,eu_unity;institutional_relevance;resist_bilateral_bypass,Cannot vote but sets EU agenda. Nightmare: member states bypassing EU for bilateral deals.,0,0,0,0,0,0,0,true
pathfinder,Pathfinder,Russian President,sarmatia,Sarmatia,President,President of Sarmatia,73,M,true,false,0,4,,false,false,role_briefs/PATHFINDER.md,4,all_executive;arrest;nuclear_co_authority;war_direction;purge,territorial_control;great_power_recognition;personal_survival,Age 73. 5-10% incapacitation risk increasing 2%/round. No succession plan. War must produce callable victory.,1,1,1,1,1,0,1,false
ironhand,Ironhand,Russian General,sarmatia,Sarmatia,Military,Chief of General Staff,60,M,false,true,0,2,,false,false,role_briefs/IRONHAND.md,3,military_operations;nuclear_co_authority;honest_assessment;coup_potential;frontline_command,military_result;professional_honor;survive,Nuclear co-authorization required. Can slow-walk orders. Coup potential if conditions align with Compass.,1,1,0,0,0,0,0,false
compass,Compass,Russian Oligarch,sarmatia,Sarmatia,Economic,Oligarch / Back-Channel,55,M,false,false,0,3,3 coins frozen abroad by Western sanctions,false,false,role_briefs/COMPASS.md,2,economic_management;back_channel;sanctions_evasion;deal_making,sanctions_relief;unfreeze_assets;economic_survival,3 personal coins frozen abroad. Direct financial incentive for peace. Back-channels to West.,0,0,0,0,0,0,0,true
ledger,Ledger,Russian PM/Technocrat,sarmatia,Sarmatia,Government,Prime Minister of Sarmatia,50,M,false,false,0,2,,true,true,role_briefs/LEDGER.md,2,state_budget;bureaucracy;economic_data;institutional_continuity,state_survival;institutional_continuity;follow_pathfinder,Expansion role. Keeps the machine running. Sees real economic data. Institutional loyalty.,0,0,0,0,0,0,0,false
beacon,Beacon,Ukrainian President,ruthenia,Ruthenia,Resistance,President of Ruthenia,47,M,true,false,0,2,,false,false,role_briefs/BEACON.md,4,executive_authority;alliance_diplomacy;war_leadership;territory_decisions;martial_law,national_survival;territorial_integrity;western_support,22.6% first-round vote share but controls executive under martial law. Corruption scandal damaged credibility.,0,0,0,0,0,0,1,false
bulwark,Bulwark,Ukrainian General,ruthenia,Ruthenia,Military,Commander-in-Chief,50,M,false,true,0,1,,false,false,role_briefs/BULWARK.md,3,military_command;shadow_diplomacy;popular_appeal;wartime_election,military_victory;win_presidency;better_leadership,Would beat Beacon 64-36 in runoff. More popular than president. Wartime election candidate.,0,0,0,0,0,0,0,false
broker,Broker,Ukrainian Politician,ruthenia,Ruthenia,Pragmatist,Opposition Leader,52,M,false,false,0,1,,false,false,role_briefs/BROKER.md,1,back_channel;peace_negotiation;eu_connections;wartime_election,negotiated_peace;eu_membership;pragmatic_deal,EU connections and oligarchic resources. Peace deal candidate. Territory-for-security trade.,0,0,0,0,0,1,0,true
