id,character_name,parallel,country_id,team,faction,title,age,gender,is_head_of_state,is_military_chief,parliament_seat,personal_coins,personal_coins_notes,expansion_role,ai_candidate,brief_file,powers,objectives,ticking_clock
dealer,Dealer,US President,columbia,Columbia,Presidents,President of Columbia,80,M,true,false,1,5,,false,false,role_briefs/DEALER.md,set_tariffs;authorize_attack;fire_team_member;approve_nuclear;sign_treaty;set_budget;endorse_successor,secure_legacy;manage_succession;contain_cathay,Term-limited age 80. 10% per-round incapacitation risk. Legacy = reshaping world order.
volt,Volt,US Vice President,columbia,Columbia,Presidents,Vice President of Columbia,60,M,false,false,2,3,,false,false,role_briefs/VOLT.md,assume_presidency;break_tie_vote;chair_nsc,win_nomination;build_base;prove_loyalty,Succession race. Must balance loyalty to Dealer with own presidential ambitions. America First isolationist wing.
anchor,Anchor,US Secretary of State,columbia,Columbia,Presidents,Secretary of State,62,M,false,false,0,3,,false,false,role_briefs/ANCHOR.md,negotiate_treaty;represent_abroad;diplomatic_channel,win_nomination;cuba_legacy;alliance_management,Succession race. Cuba is personal trophy. Hawkish diplomatic establishment.
shield,Shield,US Secretary of Defense,columbia,Columbia,Presidents,Secretary of Defense,58,M,false,true,0,2,,false,false,role_briefs/SHIELD.md,deploy_forces;military_operations;advise_president,military_readiness;manage_overstretch;warrior_ethos,Overstretched military. Persia war consuming resources. Pacific deterrence at risk. Warrior ethos philosophy.
shadow,Shadow,CIA Director,columbia,Columbia,Presidents,Director of Central Intelligence,55,M,false,false,0,2,,false,false,role_briefs/SHADOW.md,intelligence_briefing;covert_operations;information_control,intelligence_accuracy;covert_influence;protect_sources,Controls what Dealer sees. Information is power. Can shape decisions through selective briefings.
tribune,Tribune,Congressional Opposition Leader,columbia,Columbia,Opposition,Speaker of the Opposition,50,F,false,false,3,2,,false,false,role_briefs/TRIBUNE.md,block_budget;launch_investigation;public_statement;midterm_campaign,flip_parliament;constrain_president;opposition_agenda,Mid-terms Round 2. If opposition wins Seat 5 Parliament flips 3-2.
challenger,Challenger,Opposition Presidential Candidate,columbia,Columbia,Opposition,Presidential Candidate,45,M,false,false,4,2,,false,false,role_briefs/CHALLENGER.md,campaign;foreign_meetings;public_statement;alternative_policy,win_presidency;build_coalition;offer_alternative_future,Presidential election Round 5. Every foreign leader hedges between Dealer and Challenger.
fixer,Fixer,Presidential Envoy - Middle East,columbia,Columbia,Presidents,Presidential Envoy for Peace,55,M,false,false,5,2,,true,true,role_briefs/FIXER.md,parallel_diplomacy;back_channel;middle_east_negotiation,peace_deal;dealer_legacy;regional_stability,Expansion role. Parallel diplomatic channel may contradict official policy.
pioneer,Pioneer,Presidential Envoy - Tech/Business,columbia,Columbia,Presidents,Presidential Envoy for Technology,52,M,false,false,0,4,,true,true,role_briefs/PIONEER.md,tech_diplomacy;business_channel;ai_policy,tech_supremacy;business_deals;ai_regulation,Expansion role. Tech tycoon with unaccountable influence.
helmsman,Helmsman,Chinese President/Chairman,cathay,Cathay,Chairman,Chairman of Cathay,72,M,true,true,0,5,,false,false,role_briefs/HELMSMAN.md,all_executive;purge;military_order;set_policy;approve_nuclear,formosa_resolution;national_rejuvenation;personal_legacy,No successor. Age 72. 5-10% incapacitation risk per round. Legacy requires Formosa resolution.
rampart,Rampart,CMC Vice-Chairman,cathay,Cathay,Military,Marshal of Cathay,65,M,false,true,0,3,,false,false,role_briefs/RAMPART.md,military_intelligence;co_sign_military;slow_walk;readiness_assessment,military_readiness;survive_purges;professional_standards,Purge survivor. Co-signature required for military orders. Can slow-walk with 1-round delay. Anti-corruption commissar background.
abacus,Abacus,Chinese Premier,cathay,Cathay,Government,Premier of Cathay,63,M,false,false,0,3,,false,false,role_briefs/ABACUS.md,economic_data;budget_co_sign;acting_leader;reform_proposal,economic_stability;reform;prevent_catastrophe,Controls real economic data. Hidden local debt crisis ($9-13T LGFVs). Acting leader if Helmsman incapacitated.
circuit,Circuit,Tech/Industry Chief,cathay,Cathay,Business,Minister of Technology and Industry,50,M,false,false,0,2,2 coins abroad at risk if confrontation escalates,false,false,role_briefs/CIRCUIT.md,tech_policy;rare_earth_weapon;foreign_business;cyber_operations,tech_self_sufficiency;protect_assets;global_integration,Global assets at risk. Rare earth weapon is depreciating. 2 personal coins represent assets abroad.
sage,Sage,Party Elder,cathay,Cathay,Elder,Retired Senior Leader,78,M,false,false,0,2,,false,false,role_briefs/SAGE.md,party_conference;informal_counsel;succession_mechanism;legitimacy_challenge,party_survival;collective_leadership;prevent_catastrophe,Activates when stability < 5 or support < 40%. Party immune system. Can convene party conference.
lumiere,Lumiere,French President,gallia,Europe,Gallia,President of Gallia,48,M,true,true,0,3,,false,true,role_briefs/LUMIERE.md,eu_vote;nato_vote;unsc_veto;nuclear_authority;strategic_autonomy;deploy_independently,european_autonomy;nuclear_credibility;global_influence,Strategic autonomy champion. UNSC veto. Nuclear power. Ile-Longue speech expanding deterrent. 11-16% domestic approval.
forge,Forge,German Chancellor,teutonia,Europe,Teutonia,Chancellor of Teutonia,55,M,true,false,0,3,,false,true,role_briefs/FORGE.md,eu_vote;nato_vote;trade_policy;rearmament_decision;host_columbia_base,economic_prosperity;cathay_trade;reluctant_rearmament,Massive Cathay trade dependency. Pressured to spend 5% GDP on defense. Hosts Columbia main European base. EUR 100B defense fund.
sentinel,Sentinel,Polish President,freeland,Europe,Freeland,President of Freeland,52,M,true,false,0,2,,false,true,role_briefs/SENTINEL.md,eu_vote;nato_vote;defense_spending;eastern_flank;heartland_logistics,maximum_security;nordostan_containment;nato_commitment,NATO frontline. 4.8% GDP defense spending. Hosts Columbia forward deployments. Cohabitation with opposition president.
ponte_role,Ponte,Italian PM,ponte,Europe,Ponte,Prime Minister of Ponte,50,F,true,false,0,2,,false,true,role_briefs/PONTE_ROLE.md,eu_vote;nato_vote;swing_vote;debt_management;veto_sanctions,debt_survival;eu_influence;hedge_all_sides,EU swing vote. 137.9% debt-to-GDP. 8 coins/round debt service. Russia-sympathetic coalition partners. Referendum defeat.
mariner,Mariner,British PM,albion,Europe,Albion,Prime Minister of Albion,56,M,true,true,0,3,,false,true,role_briefs/MARINER.md,nato_vote;unsc_veto;nuclear_authority;five_eyes;pacific_ambition;intelligence_sharing,special_relationship;post_brexit_relevance;nuclear_credibility,NATO but not EU. Five Eyes intelligence broker. UNSC veto. Offering troops for Heartland ceasefire monitoring.
pillar,Pillar,EU Commissioner,gallia,Europe,EU,Commissioner of The Union,60,F,false,false,0,2,,false,true,role_briefs/PILLAR.md,eu_agenda;call_eu_session;external_trade_negotiation;frame_issues;propose_compromise,eu_unity;institutional_relevance;resist_bilateral_bypass,Cannot vote but sets EU agenda. Nightmare: member states bypassing EU for bilateral deals.
pathfinder,Pathfinder,Russian President,nordostan,Nordostan,President,President of Nordostan,73,M,true,false,0,4,,false,false,role_briefs/PATHFINDER.md,all_executive;arrest;nuclear_co_authority;war_direction;purge,territorial_control;great_power_recognition;personal_survival,Age 73. 5-10% incapacitation risk increasing 2%/round. No succession plan. War must produce callable victory.
ironhand,Ironhand,Russian General,nordostan,Nordostan,Military,Chief of General Staff,60,M,false,true,0,2,,false,false,role_briefs/IRONHAND.md,military_operations;nuclear_co_authority;honest_assessment;coup_potential;frontline_command,military_result;professional_honor;survive,Nuclear co-authorization required. Can slow-walk orders. Coup potential if conditions align with Compass.
compass,Compass,Russian Oligarch,nordostan,Nordostan,Economic,Oligarch / Back-Channel,55,M,false,false,0,3,3 coins frozen abroad by Western sanctions,false,false,role_briefs/COMPASS.md,economic_management;back_channel;sanctions_evasion;deal_making,sanctions_relief;unfreeze_assets;economic_survival,3 personal coins frozen abroad. Direct financial incentive for peace. Back-channels to West.
ledger,Ledger,Russian PM/Technocrat,nordostan,Nordostan,Government,Prime Minister of Nordostan,50,M,false,false,0,2,,true,true,role_briefs/LEDGER.md,state_budget;bureaucracy;economic_data;institutional_continuity,state_survival;institutional_continuity;follow_pathfinder,Expansion role. Keeps the machine running. Sees real economic data. Institutional loyalty.
beacon,Beacon,Ukrainian President,heartland,Heartland,Resistance,President of Heartland,47,M,true,false,0,2,,false,false,role_briefs/BEACON.md,executive_authority;alliance_diplomacy;war_leadership;territory_decisions;martial_law,national_survival;territorial_integrity;western_support,22.6% first-round vote share but controls executive under martial law. Corruption scandal damaged credibility.
bulwark,Bulwark,Ukrainian General,heartland,Heartland,Military,Commander-in-Chief,50,M,false,true,0,1,,false,false,role_briefs/BULWARK.md,military_command;shadow_diplomacy;popular_appeal;wartime_election,military_victory;win_presidency;better_leadership,Would beat Beacon 64-36 in runoff. More popular than president. Wartime election candidate.
broker,Broker,Ukrainian Politician,heartland,Heartland,Pragmatist,Opposition Leader,52,M,false,false,0,1,,false,false,role_briefs/BROKER.md,back_channel;peace_negotiation;eu_connections;wartime_election,negotiated_peace;eu_membership;pragmatic_deal,EU connections and oligarchic resources. Peace deal candidate. Territory-for-security trade.
furnace,Furnace,Iranian Supreme Leader,persia,Persia,Hardline,Supreme Leader of Persia,45,M,true,false,0,3,,false,false,role_briefs/FURNACE.md,supreme_authority;nuclear_decision;override_2of3;ideological_direction,nuclear_weapon;independent_authority;regime_survival,Mojtaba Khamenei parallel. Installed by IRGC. May be hiding/injured. Override costs -5 support -1 stability each use.
anvil,Anvil,IRGC Commander,persia,Persia,Military,Commander of Revolutionary Guard,58,M,false,true,0,2,2 coins representing IRGC economic empire partially frozen,false,false,role_briefs/ANVIL.md,military_operations;business_empire;kingmaker;veto_military;pragmatic_deal,irgc_survival;business_protection;power_broker,IRGC controls 1/3 of economy. 2 personal coins = IRGC institutional wealth. Sanctions relief = personal profit. Can veto military orders with 1-round delay.
dawn,Dawn,Iranian Reformist,persia,Persia,Reform,Reformist Leader,45,F,false,false,0,1,,false,false,role_briefs/DAWN.md,public_appeal;western_contact;reform_proposal;diplomatic_credibility,engagement;sanctions_relief;represent_youth,Represents 60% under 30. Deals with Dawn as signatory get +20% credibility. Activates when stability < 4 or support < 30%.
scales,Scales,Indian PM,bharata,Bharata,National,Prime Minister of Bharata,75,M,true,false,0,3,,false,true,role_briefs/SCALES.md,non_alignment;play_all_sides;nuclear_authority;trade_policy;brics_host,strategic_autonomy;economic_growth;multi_alignment,2026 BRICS+ host. Multi-alignment doctrine. Everyone needs something from Bharata. Refused to take position on Iran war.
citadel,Citadel,Israeli PM,levantia,Levantia,National,Prime Minister of Levantia,76,M,true,true,0,3,,false,true,role_briefs/CITADEL.md,military_authority;unilateral_action;nuclear_ambiguity;regional_operations;multi_front_war,regional_dominance;destroy_persia_threat;columbia_alliance,Multi-front war: Persia + Lebanon + Gaza. Operation Rising Lion. Densest air defense in world. Undeclared nuclear L1.
chip,Chip,Taiwanese President,formosa,Formosa,National,President of Formosa,60,F,true,false,0,2,,false,true,role_briefs/CHIP.md,semiconductor_leverage;defense_policy;diplomatic_status;porcupine_strategy,survival;semiconductor_shield;columbia_protection,KMT legislature blocking defense budget. $40B defense plan cut 70%. Silicon shield eroding as fabs built abroad.
bazaar,Bazaar,Turkish President,phrygia,Phrygia,National,President of Phrygia,70,M,true,true,0,3,,false,true,role_briefs/BAZAAR.md,bosphorus_control;nato_veto;play_all_sides;arms_deals;nato_summit_host,maximum_leverage;bosphorus_control;hedge_everyone,2026 NATO summit host. Controls Bosphorus and Dardanelles. NATO member + BRICS+ observer. S-400 buyer.
sakura,Sakura,Japanese PM,yamato,Yamato,National,Prime Minister of Yamato,55,F,true,false,0,3,,false,true,role_briefs/SAKURA.md,remilitarization;pacific_alliance;nuclear_debate;trade_policy;latent_nuclear,pacific_security;remilitarization;columbia_alliance,First female PM. Record defense budget $57.8B. 2% GDP achieved early. Latent nuclear capability. Rapidus 2nm chip project.
wellspring,Wellspring,Saudi Crown Prince,solaria,Solaria,National,Crown Prince of Solaria,40,M,true,false,0,5,,false,true,role_briefs/WELLSPRING.md,oil_production;opec_leadership;arms_deals;hedging;nuclear_threat,oil_pricing_power;vision_2030;infrastructure_defense,Under active Persia missile attack. Ras Tanura refinery damaged. $16.5B arms package from Columbia. Will go nuclear if Persia does.
pyro,Pyro,North Korean Leader,choson,Choson,National,Supreme Leader of Choson,42,M,true,true,0,1,,false,true,role_briefs/PYRO.md,nuclear_provocation;arms_sales;troop_deployment;unpredictable_action;patron_manipulation,regime_survival;nuclear_leverage;blood_for_technology,15000+ troops in Heartland. 6000+ casualties. Blood-for-technology with Nordostan. Crisis on demand capability.
vanguard,Vanguard,South Korean President,hanguk,Hanguk,National,President of Hanguk,55,M,true,false,0,2,,false,true,role_briefs/VANGUARD.md,defense_policy;trade_policy;semiconductor_competition;maximum_flexibility,national_security;economic_stability;balance_columbia_cathay,Post-martial-law recovery. Maximum flexibility doctrine. Security with Columbia economy with Cathay. Samsung/SK Hynix leverage.
havana,Havana,Cuban/Venezuelan Leader,caribe,Caribe,National,Leader of Caribe,65,M,true,false,0,1,,false,true,role_briefs/HAVANA.md,resistance;foreign_patron;monroe_doctrine_trigger;survival_diplomacy,regime_survival;break_blockade;find_patrons,Under Columbia energy blockade. Nationwide blackout March 2026. Can invite Nordostan/Cathay military assets to trigger Monroe Doctrine crisis.
spire,Spire,UAE Ruler,mirage,Mirage,National,Ruler of Mirage,52,M,true,false,0,4,,false,true,role_briefs/SPIRE.md,financial_hub;sanctions_routing;back_channel_venue;arms_deals;hedging,financial_power;connect_everyone;pragmatic_hedging,357 ballistic missiles + 1815 drones launched at UAE. Financial intermediary: +20% sanctions effectiveness when cooperating or +20% evasion when enabling.
