country,target,level,notes
columbia,sarmatia,3,Comprehensive: financial SWIFT exclusion technology energy price cap asset freezes travel bans 1500+ individuals
columbia,persia,3,Maximum: wartime escalation on top of 2018 reimposition. Financial disconnect technology block energy sanctions.
columbia,choson,3,Maximum sanctions. Longest-running sanctions regime.
columbia,caribe,3,Full energy blockade. Executive Order declaring national emergency. Naval interdiction of oil tankers.
gallia,sarmatia,3,EU comprehensive sanctions aligned with Columbia
gallia,persia,2,EU snapback triggered Sep 2025 + wartime escalation
gallia,choson,2,UN and EU sanctions
teutonia,sarmatia,3,EU comprehensive sanctions - reluctant but compliant
teutonia,persia,2,EU snapback + wartime
teutonia,choson,2,UN and EU sanctions
freeland,sarmatia,3,Maximum enforcement. Most aggressive EU implementer.
freeland,persia,2,EU aligned
freeland,choson,2,UN and EU sanctions
albion,sarmatia,3,Comprehensive. Most aggressive in sanctioning oligarchs and pursuing Russian assets.
albion,persia,2,Strong sanctions enforcement
albion,choson,2,UN sanctions enforcement
ponte,sarmatia,2,EU aligned but weakest enforcer. Coalition partners question sanctions.
ponte,persia,1,Minimal EU compliance
ponte,choson,1,Weak enforcement
levantia,persia,3,Wartime. Total. Existential conflict.
levantia,sarmatia,1,Alignment with Western sanctions
formosa,sarmatia,1,Aligned with Columbia restrictions
yamato,sarmatia,2,G7 aligned sanctions
yamato,choson,3,Maximum - direct nuclear threat
hanguk,sarmatia,2,Western aligned
hanguk,choson,3,Maximum - existential threat
cathay,sarmatia,-1,Sanctions evasion support. Buys energy at discount. Mild tech transfers.
sarmatia,columbia,1,Counter-sanctions (asset seizures banning Western goods)
sarmatia,ruthenia,3,Wartime total economic warfare
choson,columbia,1,Symbolic counter-sanctions
choson,hanguk,1,Symbolic counter-sanctions
choson,yamato,1,Symbolic counter-sanctions
caribe,columbia,1,Symbolic counter-sanctions
ruthenia,sarmatia,3,Wartime total
persia,columbia,1,Counter-sanctions (symbolic)
persia,levantia,3,Wartime total
